"Id","Algorithms","Query","Answer","Audio URL","Comment","ContextFlow","Date & Time","Feedback","Input Type","Intent","Language","Location","Source","User Type"
"25577507","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:52 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577506","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:52 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577492","Direct Match","rgi.insuredcheck","Are you saying 95540452, Please say yes or no to confirm","","","1","January 7, 2024 11:51 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577489","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:51 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577486","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:51 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577483","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:51 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577481","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:50 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577477","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:50 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577285","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:37 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577278","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:36 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577275","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:36 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577272","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:36 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577267","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:36 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577258","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:35 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577256","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:35 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577254","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:35 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577251","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:35 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577154","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 11:28 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577150","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:28 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577148","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:28 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577142","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:28 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577141","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:28 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577136","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:27 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577107","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 11:26 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577104","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:25 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577099","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:25 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577097","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:25 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577095","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:25 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577092","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:24 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577090","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:24 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577089","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:24 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577077","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:23 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577061","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577057","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25576997","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:19 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25576980","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:18 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25576976","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:18 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25576947","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:16 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25567150","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:38 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566703","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 5:20 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566697","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 5:20 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566694","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 5:20 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566690","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 5:20 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566685","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 5:19 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566679","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:19 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566634","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 5:17 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566627","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 5:17 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566623","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 5:17 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566617","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 5:16 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566610","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 5:16 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566606","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:16 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566523","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 5:13 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566515","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 5:12 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566505","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 5:12 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566501","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 5:12 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566498","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 5:12 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566491","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:12 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566389","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 5:07 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566386","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 5:07 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566382","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 5:07 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566374","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 5:06 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566371","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 5:06 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566365","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:06 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566351","Direct Match","rgi.name","Please provide your name.","","","1","January 7, 2024 5:05 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566340","Direct Match","rgi.insured relationship","Thank you for confirming the policy details JANNA RANJAN BEHERA.  We will require few more details on the accident. What is your relationship with insured? Friend, Insured, Garage or Relative.","","","1","January 7, 2024 5:04 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566337","Direct Match","rgi.policy holder","I can see the policy holder name is JANNA RANJAN BEHERA. Please say yes or no to confirm","","","1","January 7, 2024 5:04 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566333","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 5:04 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566329","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 5:04 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566324","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 5:04 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566319","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 5:03 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566314","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 5:03 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25566308","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 5:03 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25520402","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 6, 2024 1:37 PM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25513066","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 6, 2024 12:10 PM","","TEXT","Direct Match","en","","Mobile","New Visitor"
"25502088","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 6, 2024 9:58 AM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25502084","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 6, 2024 9:58 AM","","TEXT","Direct Match","en","","Desktop","New Visitor"
"25501881","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 6, 2024 9:52 AM","","TEXT","Direct Match","en","Chennai","Desktop","New Visitor"
"25501868","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 6, 2024 9:52 AM","","TEXT","Direct Match","en","Chennai","Desktop","New Visitor"
"25486260","Direct Match","rgi.insured relationship","Thank you for confirming the policy details JANNA RANJAN BEHERA.  We will require few more details on the accident. What is your relationship with insured? Friend, Insured, Garage or Relative.","","","1","January 5, 2024 6:57 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486253","Direct Match","rgi.policy holder","I can see the policy holder name is JANNA RANJAN BEHERA. Please say yes or no to confirm","","","1","January 5, 2024 6:57 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486124","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 5, 2024 6:55 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486113","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 5, 2024 6:55 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486106","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 5, 2024 6:55 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486102","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 5, 2024 6:55 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486092","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 5, 2024 6:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486081","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486073","Direct Match","rgi.insured relationship","Thank you for confirming the policy details JANNA RANJAN BEHERA.  We will require few more details on the accident. What is your relationship with insured? Friend, Insured, Garage or Relative.","","","1","January 5, 2024 6:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486060","Direct Match","rgi.policy holder","I can see the policy holder name is JANNA RANJAN BEHERA. Please say yes or no to confirm","","","1","January 5, 2024 6:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486047","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 5, 2024 6:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486037","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 5, 2024 6:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486018","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 5, 2024 6:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486014","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 5, 2024 6:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25486006","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 5, 2024 6:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485993","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485757","Direct Match","rgi.garage verification","Please confirm if the garage is Vintage Garage,2M42+337, Opp to CMR Institute of Management Studies, 1st A Cross Rd, next to the White Owl restaurant, Chikka Banaswadi, Bengaluru, 560043. Please say yes to confirm or no to change the garage name","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485745","Direct Match","rgi.garagecitycheck","Are you saying Bengaluru, Please say yes or no to confirm","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485738","Direct Match","rgi.garage city","Please tell me the city name where the garage is located.","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485731","Direct Match","rgi.garagecheck","Are you saying vintage garage, Please say yes or no to confirm","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485722","Direct Match","rgi.garage name","Please tell me the garage name.","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485718","Direct Match","rgi.reasoncheck","Are you saying I don't collision, Please say yes or no to confirm","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485713","Direct Match","rgi.accident reason","Please tell me the short description of accident.","","","1","January 5, 2024 6:48 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485693","Direct Match","rgi.drivercheck","Are you saying Sudhanshu, Please say yes or no to confirm","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485691","Direct Match","rgi.driver name","Please tell me driver name.","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485664","Direct Match","rgi.citycheck","Are you saying Mumbai, Please say yes or no to confirm","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485660","Direct Match","rgi.accident city","Please tell the city name where accident happened.","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485649","Direct Match","rgi.timecheck","Are you saying 11:00 p.m., Please say yes or no to confirm","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485645","Direct Match","rgi.accident time","Please tell me the time of accident.","","","1","January 5, 2024 6:47 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485637","Direct Match","rgi.datecheck","Are you saying 19th October, Please say yes or no to confirm","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485628","Direct Match","rgi.accident date","Please tell the date of accident.","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485621","Direct Match","rgi.numbercheck","Are you saying 7780807693, Please say yes or no to confirm","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485617","Direct Match","rgi.contact no","Please tell me your contact number.","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485611","Direct Match","rgi.namecheck","Are you saying Sudhanshu, Please say yes or no to confirm","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485608","Direct Match","rgi.name","Please provide your name.","","","1","January 5, 2024 6:46 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485589","Direct Match","rgi.insured relationship","Thank you for confirming the policy details JANNA RANJAN BEHERA.  We will require few more details on the accident. What is your relationship with insured? Friend, Insured, Garage or Relative.","","","1","January 5, 2024 6:45 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485580","Direct Match","rgi.policy holder","I can see the policy holder name is JANNA RANJAN BEHERA. Please say yes or no to confirm","","","1","January 5, 2024 6:45 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485570","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 5, 2024 6:45 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485561","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 5, 2024 6:45 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485554","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 5, 2024 6:45 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485552","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 5, 2024 6:44 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485549","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 5, 2024 6:44 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25485543","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:44 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484525","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:25 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484493","Direct Match","rgi.claim status","Your claim is settled for amount INR 13932","","","1","January 5, 2024 6:24 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484469","Direct Match","rgi.claim statuscheck","Are you saying 3123000286, Please say yes or no to confirm","","","1","January 5, 2024 6:24 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484461","Direct Match","rgi.claim no","Please help me with the claim number.","","","1","January 5, 2024 6:23 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484449","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:23 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484406","Direct Match","rgi.claim status","Your claim is settled for amount INR 13932","","","1","January 5, 2024 6:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484393","Direct Match","rgi.claim statuscheck","Are you saying 3123000286, Please say yes or no to confirm","","","1","January 5, 2024 6:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484387","Direct Match","rgi.claim no","Please help me with the claim number.","","","1","January 5, 2024 6:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484374","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 5, 2024 6:22 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484255","Direct Match","rgi.claim status","Your claim is settled for amount INR 13932","","","1","January 5, 2024 6:20 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484242","Direct Match","rgi.claim statuscheck","Are you saying 3123000286, Please say yes or no to confirm","","","1","January 5, 2024 6:20 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25484228","Direct Match","rgi.claim no","Please help me with the claim number.","","","1","January 5, 2024 6:20 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
